name L N N_p dt T num_threads total_time ave_time
ppm_omp 100 1024 12800 0.1 10 16 0.129332 0.0129332
ppm_omp 100 1024 800 0.1 10 20 0.121145 0.0121145
ppm_omp 100 1024 1600 0.1 10 20 0.144062 0.0144062
ppm_omp 100 1024 3200 0.1 10 20 0.13784 0.013784
ppm_omp 100 1024 6400 0.1 10 20 0.132318 0.0132318
ppm_omp 100 1024 12800 0.1 10 20 0.132331 0.0132331
ppm_omp 100 1024 800 0.1 10 24 0.131597 0.0131597
ppm_omp 100 1024 1600 0.1 10 24 0.143027 0.0143027
ppm_omp 100 1024 3200 0.1 10 24 0.198892 0.0198892
ppm_omp 100 1024 6400 0.1 10 24 0.134022 0.0134022
ppm_omp 100 1024 12800 0.1 10 24 0.134494 0.0134494
ppm_omp 100 2048 800 0.1 10 1 1.07607 0.107607
ppm_omp 100 2048 1600 0.1 10 1 1.0747 0.10747
ppm_omp 100 2048 3200 0.1 10 1 1.07111 0.107111
ppm_omp 100 2048 6400 0.1 10 1 1.06966 0.106966
ppm_omp 100 2048 12800 0.1 10 1 1.07631 0.107631
ppm_omp 100 2048 800 0.1 10 2 0.800497 0.0800497
ppm_omp 100 2048 1600 0.1 10 2 0.796684 0.0796684
ppm_omp 100 2048 3200 0.1 10 2 0.819907 0.0819907
ppm_omp 100 2048 6400 0.1 10 2 0.934822 0.0934822
ppm_omp 100 2048 12800 0.1 10 2 0.938684 0.0938684
ppm_omp 100 2048 800 0.1 10 3 0.723292 0.0723292
ppm_omp 100 2048 1600 0.1 10 3 0.785448 0.0785448
ppm_omp 100 2048 3200 0.1 10 3 0.677005 0.0677005
ppm_omp 100 2048 6400 0.1 10 3 0.674009 0.0674009
ppm_omp 100 2048 12800 0.1 10 3 0.727699 0.0727699
ppm_omp 100 2048 800 0.1 10 4 0.65843 0.065843
ppm_omp 100 2048 1600 0.1 10 4 0.65522 0.065522
ppm_omp 100 2048 3200 0.1 10 4 0.631752 0.0631752
ppm_omp 100 2048 6400 0.1 10 4 0.653675 0.0653675
ppm_omp 100 2048 12800 0.1 10 4 0.662014 0.0662014
ppm_omp 100 2048 800 0.1 10 5 0.614522 0.0614522
ppm_omp 100 2048 1600 0.1 10 5 0.644652 0.0644652
ppm_omp 100 2048 3200 0.1 10 5 0.644914 0.0644914
ppm_omp 100 2048 6400 0.1 10 5 0.659797 0.0659797
ppm_omp 100 2048 12800 0.1 10 5 0.643893 0.0643893
ppm_omp 100 2048 800 0.1 10 6 0.592219 0.0592219
ppm_omp 100 2048 1600 0.1 10 6 0.589052 0.0589052
ppm_omp 100 2048 3200 0.1 10 6 0.617179 0.0617179
ppm_omp 100 2048 6400 0.1 10 6 0.624176 0.0624176
ppm_omp 100 2048 12800 0.1 10 6 0.62168 0.062168
ppm_omp 100 2048 800 0.1 10 7 0.606263 0.0606263
ppm_omp 100 2048 1600 0.1 10 7 0.598876 0.0598876
ppm_omp 100 2048 3200 0.1 10 7 0.604882 0.0604882
ppm_omp 100 2048 6400 0.1 10 7 0.602301 0.0602301
ppm_omp 100 2048 12800 0.1 10 7 0.610935 0.0610935
ppm_omp 100 2048 800 0.1 10 8 0.620288 0.0620288
ppm_omp 100 2048 1600 0.1 10 8 0.624166 0.0624166
ppm_omp 100 2048 3200 0.1 10 8 0.601541 0.0601541
ppm_omp 100 2048 6400 0.1 10 8 0.60624 0.060624
ppm_omp 100 2048 12800 0.1 10 8 0.624211 0.0624211
ppm_omp 100 2048 800 0.1 10 12 0.611944 0.0611944
ppm_omp 100 2048 1600 0.1 10 12 0.663747 0.0663747
ppm_omp 100 2048 3200 0.1 10 12 0.604239 0.0604239
ppm_omp 100 2048 6400 0.1 10 12 0.668533 0.0668533
ppm_omp 100 2048 12800 0.1 10 12 0.634862 0.0634862
ppm_omp 100 2048 800 0.1 10 16 0.64142 0.064142
ppm_omp 100 2048 1600 0.1 10 16 0.605858 0.0605858
ppm_omp 100 2048 3200 0.1 10 16 0.61764 0.061764
ppm_omp 100 2048 6400 0.1 10 16 0.607053 0.0607053
ppm_omp 100 2048 12800 0.1 10 16 0.649245 0.0649245
ppm_omp 100 2048 800 0.1 10 20 0.62763 0.062763
ppm_omp 100 2048 1600 0.1 10 20 0.645382 0.0645382
ppm_omp 100 2048 3200 0.1 10 20 0.645217 0.0645217
ppm_omp 100 2048 6400 0.1 10 20 0.62558 0.062558
ppm_omp 100 2048 12800 0.1 10 20 0.629558 0.0629558
ppm_omp 100 2048 800 0.1 10 24 0.745998 0.0745998
ppm_omp 100 2048 1600 0.1 10 24 0.671762 0.0671762
ppm_omp 100 2048 3200 0.1 10 24 0.753566 0.0753566
ppm_omp 100 2048 6400 0.1 10 24 0.712271 0.0712271
ppm_omp 100 2048 12800 0.1 10 24 0.807111 0.0807111
ppm_omp 100 4096 800 0.1 10 1 4.65473 0.465473
ppm_omp 100 4096 1600 0.1 10 1 4.61544 0.461544
ppm_omp 100 4096 3200 0.1 10 1 4.63591 0.463591
ppm_omp 100 4096 6400 0.1 10 1 4.64995 0.464995
ppm_omp 100 4096 12800 0.1 10 1 4.62022 0.462022
ppm_omp 100 4096 800 0.1 10 2 4.60333 0.460333
ppm_omp 100 4096 1600 0.1 10 2 3.47784 0.347784
ppm_omp 100 4096 3200 0.1 10 2 3.48053 0.348053
ppm_omp 100 4096 6400 0.1 10 2 3.47501 0.347501
ppm_omp 100 4096 12800 0.1 10 2 3.45677 0.345677
ppm_omp 100 4096 800 0.1 10 3 2.99242 0.299242
ppm_omp 100 4096 1600 0.1 10 3 3.00532 0.300532
