name L N N_p dt T num_threads total_time ave_time
ppm_omp_partial 100 352 3200 0.1 100 2 0.313297 0.00313297
ppm_omp_partial 100 352 6400 0.1 100 2 0.440241 0.00440241
ppm_omp_partial 100 352 12800 0.1 100 2 0.692681 0.00692681
ppm_omp_partial 100 424 800 0.1 100 3 0.47769 0.0047769
ppm_omp_partial 100 424 1600 0.1 100 3 0.518744 0.00518744
ppm_omp_partial 100 424 3200 0.1 100 3 0.591839 0.00591839
ppm_omp_partial 100 424 6400 0.1 100 3 0.691884 0.00691884
ppm_omp_partial 100 424 12800 0.1 100 3 0.969739 0.00969739
ppm_omp_partial 100 485 800 0.1 100 4 0.860464 0.00860464
ppm_omp_partial 100 485 1600 0.1 100 4 0.896577 0.00896577
ppm_omp_partial 100 485 3200 0.1 100 4 0.948597 0.00948597
ppm_omp_partial 100 485 6400 0.1 100 4 1.08614 0.0108614
ppm_omp_partial 100 485 12800 0.1 100 4 1.31634 0.0131634
ppm_omp_partial 100 538 800 0.1 100 5 0.591799 0.00591799
ppm_omp_partial 100 538 1600 0.1 100 5 0.6136 0.006136
ppm_omp_partial 100 538 3200 0.1 100 5 0.687 0.00687
ppm_omp_partial 100 538 6400 0.1 100 5 0.788525 0.00788525
ppm_omp_partial 100 538 12800 0.1 100 5 1.16594 0.0116594
ppm_omp_partial 100 585 800 0.1 100 6 0.46078 0.0046078
ppm_omp_partial 100 585 1600 0.1 100 6 0.482415 0.00482415
ppm_omp_partial 100 585 3200 0.1 100 6 0.552129 0.00552129
ppm_omp_partial 100 585 6400 0.1 100 6 0.665427 0.00665427
ppm_omp_partial 100 585 12800 0.1 100 6 0.880262 0.00880262
ppm_omp_partial 100 628 800 0.1 100 7 0.61984 0.0061984
ppm_omp_partial 100 628 1600 0.1 100 7 0.649021 0.00649021
ppm_omp_partial 100 628 3200 0.1 100 7 0.731457 0.00731457
ppm_omp_partial 100 628 6400 0.1 100 7 0.853964 0.00853964
ppm_omp_partial 100 628 12800 0.1 100 7 1.04851 0.0104851
ppm_omp_partial 100 669 800 0.1 100 8 1.35849 0.0135849
ppm_omp_partial 100 669 1600 0.1 100 8 1.57279 0.0157279
ppm_omp_partial 100 669 3200 0.1 100 8 1.63434 0.0163434
ppm_omp_partial 100 669 6400 0.1 100 8 1.74537 0.0174537
ppm_omp_partial 100 669 12800 0.1 100 8 1.948 0.01948
ppm_omp_partial 100 807 800 0.1 100 12 1.79124 0.0179124
ppm_omp_partial 100 807 1600 0.1 100 12 1.60576 0.0160576
ppm_omp_partial 100 807 3200 0.1 100 12 2.03718 0.0203718
ppm_omp_partial 100 807 6400 0.1 100 12 1.84473 0.0184473
ppm_omp_partial 100 807 12800 0.1 100 12 1.97706 0.0197706
ppm_omp_partial 100 923 800 0.1 100 16 1.74916 0.0174916
ppm_omp_partial 100 923 1600 0.1 100 16 1.80705 0.0180705
ppm_omp_partial 100 923 3200 0.1 100 16 1.87952 0.0187952
ppm_omp_partial 100 923 6400 0.1 100 16 1.98291 0.0198291
ppm_omp_partial 100 923 12800 0.1 100 16 2.17803 0.0217803
ppm_omp_partial 100 1024 800 0.1 100 20 1.315 0.01315
ppm_omp_partial 100 1024 1600 0.1 100 20 1.20772 0.0120772
ppm_omp_partial 100 1024 3200 0.1 100 20 1.41188 0.0141188
ppm_omp_partial 100 1024 6400 0.1 100 20 1.57776 0.0157776
ppm_omp_partial 100 1024 12800 0.1 100 20 1.73351 0.0173351
ppm_omp_partial 100 1115 800 0.1 100 24 2.48863 0.0248863
ppm_omp_partial 100 1115 1600 0.1 100 24 2.50505 0.0250505
ppm_omp_partial 100 1115 3200 0.1 100 24 4.06721 0.0406721
ppm_omp_partial 100 1115 6400 0.1 100 24 3.73699 0.0373699
ppm_omp_partial 100 1115 12800 0.1 100 24 4.37282 0.0437282
